Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_import
Slovenia,0.0,0.0,7372500.0,9133080.0,9548340.0,8857140.0,10478017.0,10238831.0,10458166.0,10891484.0,11206382.0,11650979.0,12048557.0,10623642.0,11770926.0,11452901.0,11199573.0,12273278.0,12303419.0,12614452.0,13055189.0,13379318.0,13253730.0,15474912.0,16135505.0,16307143.0,19372217.0,24086328.0,32979613.0,37170026.0,395335648.0
Spain,3053.2510005,178172580.0,204857400.0,168785280.0,181705500.0,188751960.0,210916650.0,226593636.0,223059216.0,239161435.0,226092107.0,243457751.0,241566947.0,248137037.0,250408444.0,261364922.0,272301586.0,292484914.0,291826066.0,288677065.0,302064184.0,289254463.0,305641204.0,308216596.0,324333458.0,325713910.0,339608816.0,324853755.0,340380040.0,359010651.0,7657397573.0
Sweden,1766.6740031,103025220.0,106303500.0,105396060.0,113597520.0,85226520.0,91342758.0,88370490.0,86378208.0,87340602.0,80650074.0,85930824.0,87798517.0,86095614.0,89713596.0,101580172.0,109228930.0,106180109.0,108247582.0,99519259.0,103600790.0,98803570.0,100784076.0,102563346.0,131907784.0,127233080.0,140992170.0,138379930.0,135732847.0,140867809.0,3042790957.0
Japan,5329.7500039,330628140.0,319536960.0,341467200.0,373029060.0,329345220.0,359646780.0,355284900.0,361617900.0,392849100.0,414480534.0,419771876.0,438447416.0,415354376.0,435234896.0,444470040.0,457893124.0,425173435.0,423601944.0,425382105.0,444424820.0,452631354.0,421491596.0,502875772.0,459418979.0,483803881.0,481569269.0,458798207.0,452398909.0,482380680.0,12103008473.0
Norway,742.0400021,45672900.0,44348700.0,41569740.0,48337680.0,39725880.0,43193496.0,41033304.0,42412608.0,47398656.0,39734262.0,42974796.0,41878440.0,41440757.0,42966393.0,45183566.0,43866554.0,46793605.0,43313204.0,43464414.0,45561186.0,47695021.0,44126590.0,46889057.0,44590526.0,47984418.0,47948862.0,48051438.0,44600425.0,47153423.0,1289909901.0
Russian Federation,0.0,0.0,82911480.0,107696761.0,103543801.0,103688641.0,67678320.0,131117307.0,103915057.0,82084630.0,113427174.0,183412201.0,210240913.0,226337253.0,192323487.0,200148209.0,207908412.0,259073940.0,243191384.0,213189677.0,249315415.0,253060968.0,250484677.0,264611608.0,284816978.0,282602289.0,313972870.0,328066961.0,317252494.0,354997955.0,5731070862.0
Switzerland,1170.5080015,67817520.0,66075060.0,63592680.0,65964360.0,61009740.0,66697620.0,58246320.0,66710100.0,68335560.0,70288980.0,75272261.0,73004690.0,79312194.0,74177730.0,98462960.0,90157217.0,109386504.0,118661288.0,126060026.0,139056362.0,149874849.0,148677432.0,160005042.0,158586379.0,164871510.0,168961565.0,174217085.0,185161135.0,193702979.0,3142347148.0
Tunisia,100.999998,5412060.0,6634980.0,6037440.0,8236020.0,8206980.0,8619000.0,9877020.0,8845020.0,11144845.0,11546973.0,13979984.0,14133956.0,7388873.0,15834642.0,11398412.0,12567816.0,15205088.0,19056725.0,17327932.0,18245420.0,25726923.0,26335422.0,26338036.0,27601673.0,27522417.0,27933181.0,32769349.0,31977994.0,30499920.0,486404101.0
United Kingdom,2898.2980084,168354840.0,185290321.0,191818861.0,207951601.0,168403381.0,174207187.0,175760281.0,188544481.0,174435301.0,180744049.0,183709643.0,178279092.0,180121094.0,199720823.0,205998251.0,242747318.0,226832887.0,238047461.0,247854458.0,258114488.0,250993793.0,247563221.0,252365456.0,259121735.0,293724437.0,303137608.0,299342274.0,341271584.0,333261833.0,6557717759.0
United States of America,21006.7860098,1190377801.0,1376341981.0,1159723261.0,970274701.0,1026411421.0,1166671987.0,1220564749.0,1261824068.0,1364785940.0,1426010361.0,1284908469.0,1298334842.0,1365611772.0,1391037212.0,1382490952.0,1422525737.0,1453156898.0,1456620260.0,1414683897.0,1462680783.0,1565603685.0,1563369754.0,1620932410.0,1653929857.0,1662459822.0,1730270270.0,1769273188.0,1735092423.0,1851244359.0,41247212860.0
