Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_consumption
Slovenia,,,6929940.0,8855280.0,9123600.0,8371740.0,9829934.0,9643595.0,9721738.0,10233177.0,10359849.0,10970940.0,11307931.0,9995934.0,11097712.0,10888312.0,10541306.0,11697533.0,11650192.0,11896507.0,12303965.0,12463149.0,11099473.0,11059416.0,11245681.0,11255644.0,11559883.0,11373830.0,13055563.0,12240673.0,300772497.0
Spain,2713.7130002,159076080.0,182680740.0,163656660.0,166451280.0,163904160.0,174072132.0,178627998.0,179781750.0,199441806.0,179481830.0,167701529.0,169982177.0,164423934.0,162324732.0,180434974.0,180998906.0,191886786.0,209128535.0,201111989.0,193911690.0,188923868.0,206113517.0,194044562.0,221786943.0,211430010.0,206244765.0,189051759.0,185701840.0,195174974.0,5367551926.0
Sweden,1689.3419997,96213420.0,98048100.0,97103640.0,100162380.0,72230519.0,77867927.0,74444465.0,74887481.0,76753272.0,70385369.0,75086879.0,73461120.0,70697591.0,74010371.0,70189905.0,78902133.0,74658339.0,76347281.0,67973560.0,73286945.0,67500787.0,69559793.0,70508980.0,99091024.0,97357280.0,107898534.0,103545022.0,100990662.0,106133444.0,2395296223.0
Japan,5059.8480044,348538440.0,307945920.0,344390160.0,358381920.0,366960480.0,350276820.0,358090140.0,363116700.0,376374120.0,397539595.0,416135696.0,412481697.0,406186317.0,427018797.0,427677057.0,436091179.0,436924953.0,423881107.0,427824208.0,431543880.0,420891229.0,427856799.0,446108421.0,449619925.0,461711323.0,472315908.0,464520564.0,470015740.0,453049310.0,11883468405.0
Norway,726.6640023,45459180.0,44187840.0,41413800.0,47976600.0,39428400.0,42797676.0,40501164.0,42148428.0,47110416.0,39432042.0,42596316.0,41534880.0,40980099.0,42536302.0,44604972.0,43275996.0,46285303.0,42873339.0,42914370.0,44741972.0,47107599.0,43402001.0,45783630.0,43737295.0,47252586.0,46892652.0,46883475.0,44050004.0,46237940.0,1274146277.0
Russian Federation,,,82629420.0,107683861.0,102732361.0,99017521.0,63787320.0,111447611.0,98824297.0,81102626.0,111785809.0,181925917.0,207085847.0,220738619.0,184594694.0,191085478.0,193248682.0,238646276.0,217954807.0,186772317.0,222016788.0,225251415.0,221769858.0,218864655.0,241260002.0,230741290.0,266311560.0,270734662.0,254010226.0,289205456.0,5121229375.0
Switzerland,907.4790035,56933400.0,59693460.0,52127460.0,56662620.0,56107560.0,55325580.0,42745800.0,48631620.0,51762300.0,49615802.0,48965413.0,49261553.0,51145796.0,43320986.0,65959947.0,55913362.0,59338452.0,68958101.0,57932678.0,60708500.0,62068108.0,62816300.0,67365409.0,61654693.0,65743737.0,63974257.0,53647813.0,70217218.0,64373665.0,1662971590.0
Tunisia,100.999998,5412060.0,6634980.0,6037440.0,8236020.0,8206980.0,8619000.0,9877020.0,8845020.0,11124272.0,11504553.0,13906805.0,14050382.0,7179684.0,15778598.0,11387751.0,12024249.0,15203747.0,19049118.0,17323630.0,18088455.0,24922456.0,25268177.0,25763891.0,27591129.0,27473390.0,27926616.0,32755027.0,31968023.0,30490995.0,482649468.0
United Kingdom,2348.0870104,140504400.0,150960480.0,152021281.0,158384281.0,131988361.0,144363631.0,146445991.0,155269219.0,136545859.0,140536956.0,132889509.0,135644406.0,134147749.0,147509754.0,160814068.0,183527323.0,169421895.0,184045893.0,193206712.0,188048658.0,175526968.0,175552399.0,169672951.0,175656558.0,215467951.0,210033475.0,199986740.0,227262024.0,226190333.0,4861625825.0
United States of America,18297.6180013,1119670800.0,1097427180.0,1153028220.0,1039566240.0,1041772259.0,1083540047.0,1067726892.0,1116227922.0,1161565662.0,1124733823.0,1173219228.0,1147470655.0,1211560659.0,1258365775.0,1259852642.0,1240042775.0,1261996386.0,1299145620.0,1286158027.0,1307007475.0,1322633483.0,1333899823.0,1405004532.0,1425990632.0,1466294119.0,1514576827.0,1570971195.0,1590859644.0,1638597053.0,36718905595.0
